title,phone,website,category,address,review_rating,review_count,owner_email,notes
"RYCARS Construction, LLC",+1 813-778-7360,https://rycars.com/,Roofing contractor,"501 E Kennedy Blvd Ste 1400, Tampa, FL 33602, United States",0.000000,0,,
Tampa Metal Roofing Group,+1 813-461-6255,https://tampametalroofingfl.com/about-us/,Roofing contractor,"205 N Pierce St, Tampa, FL 33602, United States",0.000000,0,,
Cool GuyZ Maintenance,+1 813-580-3626,,Handyman/Handywoman/Handyperson,"2121 W Main St suite b, Tampa, FL 33607, United States",0.000000,0,,
Zags Exteriors,+1 888-643-9247,https://zagsexteriors.com/,Roofing contractor,"400 N Ashley Dr Ste 1900, Tampa, FL 33602, United States",0.000000,0,,
Dezigns Construction Inc - DCI,+1 888-781-1861,https://dezignsconstruction.com/,Roofing contractor,"100 Ashley Dr S #600, Tampa, FL 33602, United States",0.000000,0,,
Double G Construction,+1 239-919-7217,http://doublegconstruction.com/,Roofing contractor,"401 E Jackson St Ste 3300, Tampa, FL 33602, United States",0.000000,0,,
Essential Roofing Guys,+1 813-736-7231,https://essentialroofingguys.com/tampa-fl/,Roofing contractor,"1416 S Lorenzo Ave, Tampa, FL 33629, United States",0.000000,0,,
Maven Development,+1 813-463-3595,http://www.mavenbrands.com/,Construction company,"207 N 11th St, Tampa, FL 33602, United States",0.000000,0,,
Cork Roofing Tampa,+1 415-730-0993,,Roofing contractor,"2424 W Chicago Ave, Tampa, FL 33629, United States",0.000000,0,,
Island Avenue General Contractors Inc.,+1 305-785-4062,,Construction company,,0.000000,0,,
Best Roof Care,+1 813-805-2280,https://www.bestroofcare.com/contact-brc,Roofing contractor,"301 W Platt St, Tampa, FL 33606, United States",0.000000,0,,
Tampa Roofing Contractors,+1 813-692-5901,,Roofing contractor,"4350 W Cypress St #260, Tampa, FL 33607, United States",0.000000,0,,
Asquared Developments,+1 813-420-5639,https://www.asqdevelopments.com/,Construction company,"1600 E 8th Ave A200, Tampa, FL 33605, United States",5.000000,1,,
Restoration Construction Team,+1 813-872-5959,https://rct24.com/,Construction company,"310 E Harrison St, Tampa, FL 33602, United States",5.000000,1,,
"Gold Seal Roofing, LLC",+1 813-358-2035,https://www.goldsealroof.com/,Roofing contractor,"1608 E 5th Ave, Tampa, FL 33605, United States",5.000000,1,,
Home energy solutions,+1 877-804-0001,http://www.homeenergy-solutions.com/,Kitchen remodeler,"401 E Jackson St Ste 3300, Tampa, FL 33602, United States",5.000000,1,,
Tampa's Grand Span Roofing,+1 352-744-5134,,Roofing contractor,"4008B N 34th St, Tampa, FL 33610, United States",3.000000,1,,
Armour Roofing,+1 813-773-3235,https://armourroofinc.com/roofers/tampa-fl.php?utm_source=gmb&utm_medium=organic&utm_campaign=tampa,Roofing contractor,"3711 W Inman Ave Ste c, Tampa, FL 33609, United States",5.000000,1,,
Bay Area Roofing Supply LLC,+1 813-716-6253,https://bayarearoofingsupply.com/contact-us,Building materials supplier,"1809 N 43rd St, Tampa, FL 33605, United States",1.000000,1,,
Silver Star Roofing,+1 844-363-9800,https://rooflorida.com/,Roofing contractor,"1913 Flagler St, Tampa, FL 33605, United States",5.000000,2,,
Miller's Top Choice Roofers,+1 727-589-0240,https://millerstopchoiceroofers.com/,Roofing contractor,,5.000000,2,,
A1 RV Repair,+1 813-531-9452,https://a1rvrepair.com/locations/florida/rv-repair-tampa/,RV repair shop,"500 N Franklin St #405, Tampa, FL 33602, United States",5.000000,2,,
One Source Restoration & Building Services,+1 813-462-9040,http://www.onesourceresto.com/,General contractor,"102 S Armenia Ave, Tampa, FL 33609, United States",3.000000,2,,
Southern Roofing Company Inc.,+1 813-251-5252,http://www.southernroofingcompany.com/,Roofing contractor,"3425 W Main St, Tampa, FL 33607, United States",5.000000,2,,
A-1 Roofing,+1 813-877-0069,,Roofing contractor,"Tampa, FL 33607, United States",4.000000,2,,
Integra Construction Group,+1 813-282-4849,http://www.integraconstructiongroup.com/,Construction company,"1517 E 7th Ave Unit D, Tampa, FL 33605, United States",5.000000,2,,
Cigar City Roofing and Construction,+1 813-267-9873,https://cigarcityroofingandconstruction.com/,Construction company,"1810 E 5th Ave, Tampa, FL 33605, United States",5.000000,3,,
Epic Roofing Services Inc,+1 813-321-7335,http://www.epicroofingservices.com/,Roofing contractor,"401 E Jackson St Ste 2340, Tampa, FL 33602, United States",5.000000,3,,
RGA Construction Services Inc.,+1 813-736-4398,https://rubi-rgaconstructionservicesinc.com/,General contractor,,3.700000,3,,
US Commercial Roofing,+1 865-766-3464,http://www.tampacommercialroofing.com/?utm_source=google&utm_medium=wix_google_business_profile&utm_campaign=4149459985621763855,Roofing contractor,"401 E Jackson St Ste 3300, Tampa, FL 33602, United States",5.000000,4,,
Titan Strong Roofing,+1 239-728-7311,https://titanstrongroofing.com/,Roofing contractor,,5.000000,5,,
South Tampa Handyman,+1 813-409-4392,https://nextdoor.com/page/handyman-services-tallahassee-fl?init_source=search&query=handyman&referrer=nextdoor,Handyman/Handywoman/Handyperson,"2905 Bayshore Blvd, Tampa, FL 33629, United States",5.000000,5,,
Banyan Contracting,+1 813-697-7663,http://banyan.bid/,Roofing contractor,"1601 N 39th St #100, Tampa, FL 33605, United States",5.000000,5,,
Tampa Metal Roofers,,,Roofing contractor,"4010 W Boy Scout Blvd Ste #115, Tampa, FL 33607, United States",2.800000,5,,
Titan Roofing Company,+1 813-263-7835,https://titanroofcompany.com/,Roofing contractor,"4115 W Spruce St #200, Tampa, FL 33607, United States",5.000000,5,,
Handyman PhD,+1 646-221-7534,http://www.thehandymanphd.com/,Handyman/Handywoman/Handyperson,"1813 W Watrous Ave, Tampa, FL 33606, United States",5.000000,6,,
"Lee Mcghee Roofing, Inc.",+1 813-485-4996,,Roofing contractor,"Ashley Dr S #600, Tampa, FL 33602, United States",5.000000,6,,
Apex Restoration General Contractor,+1 813-437-4687,,Building restoration service,"412 S Howard Ave, Tampa, FL 33606, United States",5.000000,6,,
Five Stars My Pride Roofing,+1 727-389-7615,https://fivestarsmyprideroofing.com/,Roofing contractor,,5.000000,6,,
"DEN Dryer Vent Cleaning Services Tampa, FL",,,Cleaners,"1302 N 19th St #300, Tampa, FL 33605, United States",4.000000,7,,
SOS Roofing Co,+1 813-295-2794,,Roofing contractor,"1718 E 7th Ave b, Tampa, FL 33605, United States",5.000000,7,,
Ready Roofing Pros,+1 813-304-7994,https://readyroofingpros.com/,Roofing contractor,"401 E Palm Ave, Tampa, FL 33602, United States",4.400000,7,,
"Reliable Roofing of Florida, LLC",+1 888-212-8481,http://www.rroofl.com/,Roofing contractor,,5.000000,7,,
Roofing Contractors Tampa Squad,+1 813-939-8330,https://roofingcontractorstampasquad.com/,Roofing contractor,"600 N Westshore Blvd #981, Tampa, FL 33609, United States",5.000000,7,,
"Alpine Exteriors Siding, Windows & Roofing",+1 656-242-3892,https://alpineexteriorstampa.com/,Siding contractor,"2202 N Westshore Blvd #275, Tampa, FL 33607, United States",5.000000,7,,
