Company Name,Phone,Street Address,City,State,Google Rating,Google Review Count,Has Website,Source,Lead Status,Notes
Wounded Warrior Roofing LLC,(918) 742-8482,12121 East 51st Street,Tulsa,OK,4.8,33,Yes,Google Maps (Tier 1 city search),New,
"Capstone Roofing, LLC",(918) 500-5292,7301 North Owasso Expressway,Tulsa,OK,5.0,29,Yes,Google Maps (Tier 1 city search),New,
Arrowhead Roofing,918-743-9257,5810 S 118th E Ave Ste A,Tulsa,OK,4.9,646,Yes,Google Maps (Tier 1 city search),New,
Conrad's Roofing,918-955-6722,6247 E 15th St,Tulsa,OK,4.8,875,Yes,Google Maps (Tier 1 city search),New,
A-Best Roofing,539-242-7966,1411 E 3rd St,Tulsa,OK,4.7,1118,Yes,Google Maps (Tier 1 city search),New,
Nations Best Roofing And Construction,918-370-0909,7709 E 42nd Pl Ste 124,Tulsa,OK,4.9,213,Yes,Google Maps (Tier 1 city search),New,
T-Town Roofing,918-445-4400,1303 E Admiral Blvd,Tulsa,OK,4.7,574,Yes,Google Maps (Tier 1 city search),New,
A. Fricker Roofing and Waterproofing,918-402-7167,3321 W 5th St,Tulsa,OK,4.9,665,Yes,Google Maps (Tier 1 city search),New,
E2 Roof Co.,918-212-4944,6836 E 44th St,Tulsa,OK,5.0,276,Yes,Google Maps (Tier 1 city search),New,
"RainTech Roofing, Sheet Metal & Gutters",918-449-1474,3815 S 79th E Ave,Tulsa,OK,4.9,496,Yes,Google Maps (Tier 1 city search),New,
NuRoof & Construction,918-271-7999,10302A E 46th Pl,Tulsa,OK,4.9,412,Yes,Google Maps (Tier 1 city search),New,
Kennedy Roofing Solutions,918-229-5992,3701 S Harvard Ave A,Tulsa,OK,4.9,161,Yes,Google Maps (Tier 1 city search),New,
Midwest Roofpros & Construction,918-957-2868,4823 S Sheridan Rd Unit 308,Tulsa,OK,5.0,29,Yes,Google Maps (Tier 1 city search),New,
Mighty Dog Roofing of Tulsa,918-212-5646,3015 E Skelly Dr Ste 1100,Tulsa,OK,5.0,402,Yes,Google Maps (Tier 1 city search),New,
24 Hour Roof US,918-949-8200,4877 S 69th E Ave,Tulsa,OK,4.9,50,Yes,Google Maps (Tier 1 city search),New,
Roof Leaks and More,918-202-8184,8990 S Sheridan Rd suite b,Tulsa,OK,5.0,152,Yes,Google Maps (Tier 1 city search),New,
Maupin Roofing & Construction,(405) 703-3843,10601 South Western Avenue,Oklahoma City,OK,4.6,72,Yes,Google Maps (Tier 1 city search),New,
OKC Roofers,405-796-8858,8901 S Santa Fe Ave Ste h,Oklahoma City,OK,4.9,607,Yes,Google Maps (Tier 1 city search),New,
Statewide Roofing,405-790-0109,5001 E Interstate 240 Service Rd,Oklahoma City,OK,4.9,287,Yes,Google Maps (Tier 1 city search),New,
Oklahoma All State Roofing,405-203-0539,11032 Quail Creek Rd #200,Oklahoma City,OK,4.9,113,Yes,Google Maps (Tier 1 city search),New,
"Yates Roofing and Construction, LLC",405-607-0966,3422 NW 135th St,Oklahoma City,OK,4.9,406,Yes,Google Maps (Tier 1 city search),New,
Hiner Roofing OKC,405-554-2609,7200 S Pennsylvania Ave Ste D,Oklahoma City,OK,5.0,67,Yes,Google Maps (Tier 1 city search),New,
1907 Roofing,405-768-2626,2520 NW 39th St,Oklahoma City,OK,4.9,272,Yes,Google Maps (Tier 1 city search),New,
City Roofing and Construction,405-514-0294,3221 NW 23rd St,Oklahoma City,OK,5.0,84,Yes,Google Maps (Tier 1 city search),New,
Eaton Roofing & Exteriors,316-943-0600,3821 W Bounous St,Wichita,KS,4.9,925,Yes,Google Maps (Tier 1 city search),New,
Rhoden Roofing LLC,316-925-7956,6601 E Kellogg Dr,Wichita,KS,4.9,1113,Yes,Google Maps (Tier 1 city search),New,
A-R Roofing & Exteriors,316-910-6467,4010 W Irving St,Wichita,KS,4.9,460,Yes,Google Maps (Tier 1 city search),New,
"Midwest Roofing Services, Inc.",316-368-3883,2209 W Harry St,Wichita,KS,4.9,272,Yes,Google Maps (Tier 1 city search),New,
Farha Roofing,316-710-6830,620 N Edgemoor St,Wichita,KS,4.9,565,Yes,Google Maps (Tier 1 city search),New,
Premier Roofing Company,316-710-7663,8847 W Monroe Cir #300,Wichita,KS,4.6,208,Yes,Google Maps (Tier 1 city search),New,
That Roof Dude,316-669-4665,5025 E Kellogg Dr,Wichita,KS,4.9,65,Yes,Google Maps (Tier 1 city search),New,
Wichita Roofing Pros,316-742-1900,1809 S Hoover Rd Ste 101,Wichita,KS,5.0,77,Yes,Google Maps (Tier 1 city search),New,
Crown Roofing & Solar Company of Wichita LLC,316-844-1663,323 S Hydraulic Ave,Wichita,KS,4.6,70,Yes,Google Maps (Tier 1 city search),New,
1st Priority Roofing - Wichita,316-448-5768,515 N Ridge Rd Ste 100,Wichita,KS,5.0,74,Yes,Google Maps (Tier 1 city search),New,
"Douglas Fry Roofing, Inc",316-655-9777,1835 N Ohio Ave,Wichita,KS,4.8,79,Yes,Google Maps (Tier 1 city search),New,
Erie Home Roofing,316-531-3490,1809 S West St Ste 2,Wichita,KS,4.6,156,Yes,Google Maps (Tier 1 city search),New,
Brown's Roofing,316-669-5926,9323 E Harry St Ste 201,Wichita,KS,4.8,25,Yes,Google Maps (Tier 1 city search),New,
Keeter Roofing and Remodeling,316-201-4098,4094 N Hoover Rd,Wichita,KS,4.9,304,Yes,Google Maps (Tier 1 city search),New,
Guardian Roofing & Construction,316-302-4100,11209 W Kellogg Dr,Wichita,KS,4.9,82,Yes,Google Maps (Tier 1 city search),New,
"Roof Maxx of NW Wichita, KS",316-315-9812,3705 N Maize Rd,Wichita,KS,5.0,20,Yes,Google Maps (Tier 1 city search),New,
NMG Contracting,(402) 206-0381,5002 Dodge Street,Omaha,NE,4.8,17,Yes,Google Maps (Tier 1 city search),New,
Dynasty Restoration and Roofing,(402) 932-6419,3335 North 107th Street,Omaha,NE,4.8,43,Yes,Google Maps (Tier 1 city search),New,
Innovative Roofing,402-512-4200,1515 N Saddle Creek Rd,Omaha,NE,4.9,637,Yes,Google Maps (Tier 1 city search),New,
Royalty Roofing and Siding,402-216-8850,13315 B St,Omaha,NE,4.9,556,Yes,Google Maps (Tier 1 city search),New,
Pyramid Contractors,402-502-9300,5532 Center St,Omaha,NE,4.4,285,Yes,Google Maps (Tier 1 city search),New,
"Home Pride Contractors, Inc.",402-592-5577,8288 Hascall St,Omaha,NE,4.7,828,Yes,Google Maps (Tier 1 city search),New,
White Castle Roofing - Omaha,402-898-7663,15013 Industrial Rd,Omaha,NE,4.9,337,Yes,Google Maps (Tier 1 city search),New,
AGR Roofing & Construction,402-983-9607,340 N 76th St,Omaha,NE,4.8,656,Yes,Google Maps (Tier 1 city search),New,
Shamrock Roofing and Construction,402-281-1780,8310 S 137th Cir #8,Omaha,NE,4.8,403,Yes,Google Maps (Tier 1 city search),New,
Moose Roofing,402-763-4851,4760 S 135th St,Omaha,NE,4.8,749,Yes,Google Maps (Tier 1 city search),New,
Red Rhino Roofs,402-502-4270,14649 Industrial Rd,Omaha,NE,4.9,239,Yes,Google Maps (Tier 1 city search),New,
Anchor Roofing,402-581-9661,7702 S 168th St Ste. A,Omaha,NE,5.0,235,Yes,Google Maps (Tier 1 city search),New,
Omaha Roofing and Exteriors,402-804-0115,5072 S 107th St,Omaha,NE,5.0,125,Yes,Google Maps (Tier 1 city search),New,
Hometown Roofing,402-896-3639,13316 Millard Ave,Omaha,NE,5.0,319,Yes,Google Maps (Tier 1 city search),New,
McCoy Roofing,402-616-7304,11308 Q St,Omaha,NE,4.9,784,Yes,Google Maps (Tier 1 city search),New,
Husker Roofing,402-553-0200,9001 Arbor St,Omaha,NE,4.5,52,Yes,Google Maps (Tier 1 city search),New,
Mr Telhas Roofing,(816) 814-6269,11311 West 51st Terrace,Kansas City,MO,5.0,49,Yes,Google Maps (Tier 1 city search),New,
True Grit Roofing Company,(913) 313-9594,12209 West 88th Street,Kansas City,MO,4.9,578,Yes,Google Maps (Tier 1 city search),New,
JR & Co.,816-587-6148,1201 W 31st St #1,Kansas City,MO,4.8,320,Yes,Google Maps (Tier 1 city search),New,
Garcia Roofing Kansas City,816-286-7387,119 W Gregory Blvd,Kansas City,MO,5.0,211,Yes,Google Maps (Tier 1 city search),New,
DHI Roofing Kansas City,816-974-0311,3675 S Noland Rd Suite 335,Kansas City,MO,4.8,648,Yes,Google Maps (Tier 1 city search),New,
Bumble Roofing of Greater Kansas City,913-675-9187,7431 Broadway St Ste 32,Kansas City,MO,4.9,66,Yes,Google Maps (Tier 1 city search),New,
Kansas City Flat Roof Co. LLC,816-207-5000,107 W 9th St 2nd floor,Kansas City,MO,5.0,11,Yes,Google Maps (Tier 1 city search),New,
Easton Roofing,913-257-5426,1707 W 39th Ave,Kansas City,MO,4.8,426,Yes,Google Maps (Tier 1 city search),New,
Christian Brothers Roofing LLC,816-453-7663,7514 N Oak Trafficway,Kansas City,MO,5.0,2018,Yes,Google Maps (Tier 1 city search),New,
Priority Roofing,816-894-7281,4125 Broadway Blvd Ste 200,Kansas City,MO,4.9,198,Yes,Google Maps (Tier 1 city search),New,
Kansas City Roofing Company,816-269-0058,10725 E Truman Rd,Kansas City,MO,5.0,71,Yes,Google Maps (Tier 1 city search),New,
Moose Roofing Kansas City,785-979-0271,934 Wyandotte St Apt. 407,Kansas City,MO,4.8,55,Yes,Google Maps (Tier 1 city search),New,
Cloud9 Roofing LLC,816-239-2083,8320 N Oak Trafficway Ste 222,Kansas City,MO,4.9,130,Yes,Google Maps (Tier 1 city search),New,
Above All Construction,913-298-6603,601 Avenida Cesar E Chavez #244,Kansas City,MO,4.8,36,Yes,Google Maps (Tier 1 city search),New,
Farha Roofing (KC),816-828-1506,720 Main St Ste 145,Kansas City,MO,4.9,180,Yes,Google Maps (Tier 1 city search),New,
Redhammer Roof Group Llc,816-965-6220,1417 Jackson Ave,Kansas City,MO,4.9,124,Yes,Google Maps (Tier 1 city search),New,
Bliss Brothers Roofing,417-893-8485,3433 S Campbell Ave Suite S,Springfield,MO,4.9,219,Yes,Google Maps (Tier 1 city search),New,
Teague Roofing Plus,417-883-7663,6149 US-60,Springfield,MO,4.9,248,Yes,Google Maps (Tier 1 city search),New,
